Didatangi,Ketekan,Kedhatengan
Kejawahan,Kodanan,Kejawahan
Kecuali,Kajaba,Kejawi
Mudah terkejut,Kagetan,Kejotan
Kokoh,Kukuh,Kekah
Kehendak,Kekarepane,Kekajenganipun
Kebanyakan,Kakehan,Kekathahen
Terlanjur,Kebacut,Kelajeng
Terlaksana,Kelakon,Kelampahan
Kekanak-kanakan,Kebocahen,Kelaren
Kebetulan,Kebener,Keleres
Hanya,Bae,Kemawon
Kumpul,Kumpul,Kempal
Teringat,Kelingan,Kemutan
Henti,endheg,Kendel
Boleh,Kena,Kenging
Mengapa,Geneya,Kenging Menapa
Menyuruh,Kongkon,Kengken
Kecurian,Kemalingan,Kepandungan
Dikelilingi,Kepung,Kepang
Bertemu,Ketemu,Kepanggih
Kematian,Kepaten,Kepejahan
Kurus,Gering,Kera
Kartu,Kartu,Kertos
Kebaikan,Kabecikan,Kesaenan
Kesakitan,Kelaran,Kesakitan
Keterlaluan,Kebangeten,Kesangeten
Tergesa-gesa,Kesusu,Kesesa
Kesiangan,Kawanen,Kesiangan
Terlupa,Kelalen,Kesupen
Kentara,Ketara,Ketawis
Terlalu jauh,Kadohan,Ketebihen
Kehabisan,Kentekan,Ketelasan
Terairi (sawah),Kebanyon,Ketoyan
Terungkap,Wetu,Kewedal
Sangat segan,Kewuhan,Kewedan
Membeli untuk dijual,Kulak,Kilak
Tidak Tahu,embuh,Kilap
Barat,Kulon,Kilen
Kambuh,Kumat,Kimat
Kuna,Kuna,Kina
Istimewa,Kinacek,Kinaot
Kira,Kira,Kinten
Kirim,Kirim,Kintun
Kurang,Kurang,Kirang
Kota,Kutha,Kitha
Kuat,Kuwat/Kelar,Kiyat/Kuwawi
Kelapa,Kambil,Klapa
Termasuk,Klebu,Klebet
Kemasukan,Klbon,Klebetan
Keliru,Kleru,Klintu
Terasa,Krasa,Kraos
Betah,Krasan,Kraosan
Saya,Aku,Kula
Terlalu berani,Kumawani,Kumawantun
Kuasa,Kuwasa,Kuwaos
Khawatir,Kuwatir,Kuwatos
Terlalu lama,Kesuwen,Kvdangon
Berjasa untuk,Labuh,Labet
Layan,Ladi,Lados
Kemudian,Bacut,Lajeng
Jalan,Laku,Lampah
Piring,Piring,Lancaran
Belanda,Landa,Landi
Lewat,Liwat,Langkung
Anak,Bocah,Lare
Api,Geni,Latu
Dalam,Jero,Lebet
Lembut,Lemu,Lema
Lembu,Sapi,Lembu
Duduk,Linggih,Lenggah
Salah,Luput,Lepat
Sungai,Kali,Lepen
Utara,Lor,Ler
Benar,Bener,Leres
Mulut,Cangkem,Lesan
Lestari,Lestari,Lestantun
Lilin,Malam,Lilin
Gajah,Gajah,Liman
Biasa,Lumrah,Limrah
Lebih,Linuwih,Linangkung
Tukar,Ijol,Lintu
Minyak,Lenga,Lisah
Bekas,Lorodan,Lorodan
Bajak,Luku,Lujeng
Bertengkar,Madu,Maben
Mencari,Nggoleki,Madosi
Kerbau,Kebo,Maesa
Maju,Maju,Majeng
Demikian,Mangkana,Makaten
Lagi,Maneh,Malih
Menghalangi,Ngalangi,Mambengi
Hati,Ati,Manah
Turun,Dhun,Mandhap
Marilah,Ayo,Mangga
Nanti,Mengko,Mangke
Sekian,Mana,Manten
Pulang,Mulih,Mantuk
Sembuh,Mari,Mantun
Dilisankan,Maca,Maos
Menyebut,Ngarani,Mastani
Bara api,Mawa,Mawi
Kapan,Kapan,Mbenjing menapa
Barangkali,Ayake,Mbok menawi
Keluar,Metu,Medal
Memperpanjang,Ndedawa,Memanjang
Jika kalau,Menawa,Menawi
Kambing,Wedhus,Menda
Diam,Eneng,Mendel
Ambil,Amek,Mendhet
Mengambilkan,Ngepekake,Mendhetake
Mengenai,Mungguh,Menggah
Musuh,Mungsuh,Mengsah
Itu,Ika,Menika
